X,Y,OBJECTID,WARD_NAME,WARDNO,LocationName,KGISFVLID,ZONE
77.5113029995796,12.9592619996094,90,Jnana Bharathi,129,Backside Fortis Hospital NGEF Layout,90,RR Nagar
77.7080749997724,12.9598240002569,91,Doddanekkundi,85,Munnekolalu,91,Mahadevapura
77.6430559997718,12.96111100043,92,Jeevanbhima Nagar,88,Nandhini hotel backside on 100 feet road Indiranagar,92,East
77.582806000285,12.9621110002995,93,Dharmaraya Swamy Temple Ward,119,Kumbaragundi,93,South
77.4919100002234,12.9624099995629,94,Herohalli,72,Mallathahalli lake inlet Muddaiahna palya road,94,RR Nagar
77.5839720004376,12.9624170000544,95,Dharmaraya Swamy Temple Ward,119,Kumbargundi lead off drains,95,South
77.5798060002524,12.9630000001948,96,Dharmaraya Swamy Temple Ward,119,Osaman Khan  road near KR Market,96,South
77.6146390004251,12.9637220001151,97,Shantala Nagar,111,Palm grove road,97,East
77.5665249996156,12.9653170002783,98,Chalavadipalya,138,Cheluvadipalya Near by  Good Shed Road,98,West
77.5665249996156,12.9653170002783,99,Chalavadipalya,138,"Siddartha Nagar, Cheluvadipalya",99,West
77.517394000081,12.9657029995558,100,Kottegepalya,73,Bande Maramma Temple behind Nagarabhavi 10th cross Bus Stop,100,RR Nagar
77.5526190001116,12.9658829998577,101,Rayapuram,137,Rayapuram near Govt. Maternity Hospital,101,West
77.5174889995426,12.9659500000668,102,Kottegepalya,73,Malagala main road to Vrishabhavathi Valley,102,RR Nagar
77.6827779996137,12.9663889997484,103,Vijnana Nagar,81,Talakaveri layout,103,Mahadevapura
77.5496969995646,12.9684050002546,104,Hosahalli,124,Vrishabhavthi main valley near Cholurapalya,104,South
77.6921780002252,12.969065999681,105,Doddanekkundi,85,Doddenakundi near Gururaja layout,105,Mahadevapura
77.7366859995484,12.9692999997563,106,Hagadur,84,Nellurahalli,106,Mahadevapura
77.609667000206,12.9706109999042,107,Shantala Nagar,111,Magrath road and brigade road junction,107,East
77.6336109997223,12.9708330001648,108,Jogupalya,89,Cambridge layout near Jogupalya,108,East
77.5186560004364,12.9711689997559,109,Mudalapalya,127,"Kalyannagar, Moodalapalya",109,West
77.6333329999603,12.9716670001861,110,Jogupalya,89,Jogupalya in Ulsoor,110,East
77.5541089999492,12.9722480000324,111,Kempapura,122,"Kempapura Agrahara Secondary Drain, Magadi road",111,South
77.5628830003884,12.972618999646,112,Cottonpete,120,K P Agrahara 7th Cross  Road,112,West
77.5466510000851,12.9737299998207,113,Vijayanagar,123,"Manuvana, Pipeline road",113,South
77.5604169997079,12.9752170001849,114,Binnypete,121,Gopalpura area,114,West
77.5604169997079,12.9752170001849,115,Binnypete,121,Gopalpura,115,West
77.5627040001008,12.9756190003332,116,Okalipuram,96,Netaji Nagara in  KP Agrahara,116,West
77.5673469998796,12.9765969995814,117,Subhash Nagar,95,Binnymill Road  near Belimath,117,West
77.6272219997728,12.9783330001697,118,Halsoor,90,MV garden & Murphy market,118,East
77.7337530001081,12.9788889998589,119,Garudachar Palya,82,Pattandur agrahara,119,Mahadevapura
77.5697720002867,12.9799999996435,120,Subhash Nagar,95,Nagamma nagara Near Binny mill road,120,West
77.5655249998615,12.9834499997698,121,Okalipuram,96,"Gandi Statue, Oklipuram.",121,West
77.5460639998798,12.9841170002625,122,Dr. Rajkumar,106,"Rajajinagar  Industrial  Area ,1st Cross Road",122,West
77.6041670001918,12.9863889998184,123,Shivaji Nagar,92,Broadway road junction,123,East
77.6102780001299,12.9863890001152,124,Bharathi Nagar,91,Armstrong road junction in Shivajinagar,124,East
77.4895020004309,12.9870139997285,125,Herohalli,72,Herohalli lake inlet Handrahalli main road,125,RR Nagar
77.5592970002844,12.987563999594,126,Sri Ramamandir,108,"Sri Rammandir, Gubbanna Industrial Estate",126,West
77.6902780000745,12.9888890003729,127,Vijnana Nagar,81,Shivaganga layout,127,Mahadevapura
77.6683329996398,12.990277999831,128,A Narayanapura,56,Pai Layout,128,Mahadevapura
77.5440499997635,12.990871999651,129,Basaveshwaranagar,100,Netaji ground & Saneguruvanalli,129,West
77.5214369999444,12.9912430000379,130,Vrisabhavathi Nagar,102,Near summanahalli bridge (up stream),130,West
77.5705640000386,12.9913279999354,131,Subhash Nagar,95,Near Mantri Mall bridge,131,West
77.7181370002738,12.9920149996462,132,Garudachar Palya,82,Hoodi,132,Mahadevapura
77.557166999634,12.9934829997549,133,Prakash Nagar,98,Prakashnagar Near Mudalayar Choultry,133,West
77.6588889998819,12.9947220001824,134,Benniganahalli,50,Railway parallel road Sadanadanagar,134,East
77.6928709998418,12.9949200004422,135,Garudachar Palya,82,Maheshwari nagar,135,Mahadevapura
77.5733829999703,12.9960140000966,136,Dattatreya Temple,77,"Link Road, Malleshwaram",136,West
77.4881040000855,12.9964130000207,137,Herohalli,72,Syndicate Layout beside park,137,RR Nagar
77.5780420000429,12.9974140000488,138,Dattatreya Temple,77,"Guttahalli Circle, Malleshwaram",138,West
77.5731080003203,12.9976689998968,139,Dattatreya Temple,77,Near by 2nd Cross Ring Road,139,West
77.5167400001607,12.998219999936,140,Kottegepalya,73,Pillappanakatte valley (KTG Roads to DWCC),140,Dasarahalli
77.5278780003759,13.0010000003161,141,Shankar Matt,75,1st main road bridge down stream,141,West
77.5164540000044,13.0015319999151,142,Rajagopal Nagar,70,Lavakushanagara to Vrishabhavathi Valley,142,Dasarahalli
77.5325529996695,13.0017559998102,143,Shankar Matt,75,Jai Maruthi nagar and Nandini layout bridge ( up and down stream),143,West
77.5636110003156,13.0033059997124,144,Kadu Malleshwar,65,Munikrishnappa layout area of Kaveripura,144,West
77.5290469997468,13.0035669996389,145,Shankar Matt,75,Sandeep bar,145,West
77.5294920002743,13.0041169998666,146,Laggere,69,Kemegowda bridge,146,West
77.5293170001005,13.0041750002618,147,Laggere,69,17th and 19th main in Kamalanagar,147,West
77.5290939999229,13.0044060003846,148,Laggere,69,Laggere 40-vent Bridge,148,West
77.5300419997567,13.0058639995654,149,Nandini Layout,43,Nandini Layout Junction,149,West
77.6722220004205,13.0066670000632,150,Vijnanapura,51,RR layout & Ambedkar Nagar,150,Mahadevapura
77.6963890001064,13.0066669998917,151,Devasandra,55,Devasandra (Nethravathi Badavane),151,Mahadevapura
77.6369440003274,13.0088889996928,152,Kammanahalli,28,Kalyananagar,152,East
77.5355280001312,13.0095110001703,153,Nandini Layout,43,Near ward office ( circular road),153,West
77.5355280001312,13.0095110001703,154,Nandini Layout,43,Back of Presidency school,154,West
77.5355280001312,13.0095110001703,155,Nandini Layout,43,3rd circular road Nandini layout,155,West
77.6802779998802,13.0105559999868,156,Vijnanapura,51,ITI Layout,156,Mahadevapura
77.6813890003321,13.0108329998322,157,K R Puram,52,Ambedkar Nagar near Ramamurthy Nagar,157,Mahadevapura
77.5280640003205,13.0109529999659,158,Nandini Layout,43,Down stream of Aggere bridge (Sakamma badavane),158,West
77.6791670000031,13.0113890001174,159,Vijnanapura,51,Koudenahalli (Ramamurthy Nagar main road),159,Mahadevapura
77.5117799998828,13.0126399999882,160,Rajagopal Nagar,70,Government School & Durgalamma Temple,160,Dasarahalli
77.6788889999928,13.0127779998621,161,Rammurthynagar,26,NRI layout,161,Mahadevapura
77.5613889997101,13.0128949999045,162,Malleshwaram,45,Near Yashavanthpur TTMC,162,West
77.6655560003485,13.0186110004055,163,Horamavu,25,Hoysala nagar in Hormavu,163,Mahadevapura
77.6347219997556,13.0188889999146,164,Kacharakanahalli,29,HRBR Lyt,164,East
77.5824999999099,13.0247220002418,165,Ganganagar,20,Jala Dharshani Layout of Hebbal,165,East
77.5846359999877,13.0297769996971,166,Ganganagar,20,Vasanthappa block  Hebbal,166,East
77.5201420002763,13.0330969996944,167,HMT,38,Peenya industrial  area 3rd phase 1st  main road,167,RR Nagar
77.4905820000948,13.033173000101,168,Dodda Bidarakallu,40,Bhavani nagara Doddabidarakallu,168,RR Nagar
77.5902780004546,13.0333329999155,169,Hebbala,21,A Block of  Hebbal,169,East
77.6002779999901,13.0333329997996,170,Hebbala,21,Low Laying areas of Chamundi nagar of Hebbal,170,East
77.5972219997212,13.0355560000782,171,Hebbala,21,Sun Rise colony of Hebbal,171,East
77.6811109998455,13.0366669997307,172,Rammurthynagar,26,Richi's Garden,172,Mahadevapura
77.4871170004473,13.0366980002346,173,Dodda Bidarakallu,40,Andanappa layout Doddabidarakallu,173,RR Nagar
77.55670599993,13.0367360000285,174,J P Park,17,Near bescom office Mattikere,174,West
77.6380559998534,13.0391669999123,175,HBR Layout,24,HBR Layout,175,East
77.5199260002574,13.0397289999055,176,HMT,38,Near Jalahalli Metro station,176,RR Nagar
77.61222199988,13.0411110003888,177,Nagavara,23,Veerannapalya,177,East
77.4780799999728,13.0413700000185,178,,40,Shambhavinagar,178,Dasarahalli
77.6155559996975,13.0424999996035,179,Thanisandra,6,Veerannapalya drain near Manpho convention center,179,Yelahanka
77.5913889998385,13.0425000003776,180,Byatarayanapura,7,Near Shani mahathma temple beside Hebbal Flyover,180,East
77.6447219998583,13.0427780001412,181,Horamavu,25,Vaddera Palya (Railway track),181,Mahadevapura
77.5988889997057,13.0430560002637,182,Byatarayanapura,7,"Kariyannapalya outer ring road, near Varun motors",182,Yelahanka
77.6280559999516,13.0436110002171,183,HBR Layout,24,Nanda gokula,183,East
77.6002780002857,13.0436109999325,184,Byatarayanapura,7,Kariyannapalya Bridge over flowed ORR,184,Yelahanka
77.5708330003102,13.0466670000846,185,Radhakrishna Temple,18,Upstreams of Devinagar (junction of Ring road and railway track)  of Hebbal,185,East
77.500740000131,13.0468099997455,186,Chokkasandra,39,Gundappa Layout & Belmar Layout,186,Dasarahalli
77.6236110002089,13.0472219998923,187,Thanisandra,6,"Manyata tech park, MS Ramaiah north city To element mall",187,Yelahanka
77.5933330000545,13.0472220002583,188,Byatarayanapura,7,From Esteem mall beside Dhobi Ghat to Yogesh nagar bridge,188,Yelahanka
77.5716669996158,13.0550000002269,189,Kodigehalli,8,TATA nagar 8th cross,189,Yelahanka
77.6147219998168,13.0577779997751,190,Thanisandra,6,Near Rachanahalli lake inlet,190,Yelahanka
77.5117799995436,13.0606799996662,191,Shettihalli,12,"Aaimatha layout, Mallasandra",191,Dasarahalli
77.5011599998644,13.0608700000336,192,Bagalakunte,14,MEI layout,192,Dasarahalli
77.5347100003529,13.0640699996863,193,Kuvempu Nagar,11,Kammagondanahalli near MNTI Polytechnic,193,Dasarahalli
77.5117800000453,13.0663400000601,194,Shettihalli,12,Shettihalli & Chikkasandra Village,194,Dasarahalli
77.5006499998342,13.0672400001178,195,Bagalakunte,14,Siddeswara Layout,195,Dasarahalli
77.5006499998342,13.0672400001178,196,Bagalakunte,14,Shivapura tank,196,Dasarahalli
77.5627780001287,13.0691669998851,197,Vidyaranyapura,9,Thindlu  to Doddabommasandra tank,197,Yelahanka
77.5936109999906,13.0925000001134,198,Yelahanka Satellite Town,4,LBSnagar Yelahanka,198,Yelahanka
77.6011110002963,13.1030559999236,199,Kempegowda,1,Kogilu cross behind Udupi Grand hotel,199,Yelahanka
77.5933329998893,13.1102779998028,200,Kempegowda,1,Kondappa layout,200,Yelahanka
